agent_id,timestep,from_state,to_state,emb_x,emb_y
agent_0000,992,adaptive,stable,3.0205636024475098,11.21046257019043
agent_0000,1006,stable,exploratory,5.4025421142578125,9.330745697021484
agent_0000,1008,exploratory,adaptive,7.506124019622803,10.864258766174316
agent_0000,1009,adaptive,stable,4.258398532867432,10.966805458068848
agent_0000,1015,stable,exploratory,5.991857528686523,11.58010196685791
agent_0000,1016,exploratory,unstable,12.985997200012207,1.640828013420105
agent_0000,1018,unstable,exploratory,11.073049545288086,4.945528030395508
agent_0000,1020,exploratory,adaptive,9.051356315612793,10.587163925170898
agent_0000,1022,adaptive,exploratory,7.952399253845215,8.986194610595703
agent_0000,1023,exploratory,unstable,12.023964881896973,1.9121372699737549
agent_0000,1026,unstable,exploratory,11.542826652526855,4.781916618347168
agent_0000,1028,exploratory,unstable,12.260022163391113,1.1695846319198608
agent_0000,1030,unstable,exploratory,11.321301460266113,4.81683874130249
agent_0000,1031,exploratory,adaptive,10.777511596679688,7.836460590362549
agent_0000,1032,adaptive,exploratory,10.780965805053711,8.828405380249023
agent_0000,1034,exploratory,adaptive,7.301780700683594,11.623080253601074
agent_0000,1040,adaptive,stable,0.2080746442079544,7.243273735046387
agent_0000,1042,stable,unstable,12.265006065368652,1.8177756071090698
agent_0000,1048,unstable,stable,11.433548927307129,3.586789608001709
agent_0000,1049,stable,unstable,12.138900756835938,1.1143712997436523
agent_0000,1051,unstable,stable,11.514274597167969,2.9129481315612793
agent_0000,1052,stable,exploratory,11.042939186096191,5.694318771362305
agent_0000,1056,exploratory,unstable,12.315252304077148,2.147217035293579
agent_0000,1057,unstable,exploratory,11.396078109741211,6.46148157119751
agent_0000,1058,exploratory,unstable,12.70677375793457,2.468052387237549
agent_0000,1068,unstable,stable,12.854703903198242,2.3575289249420166
agent_0000,1070,stable,exploratory,10.820894241333008,8.188867568969727
agent_0000,1071,exploratory,adaptive,9.750137329101562,10.642707824707031
agent_0000,1073,adaptive,stable,2.7771060466766357,11.033811569213867
agent_0000,1074,stable,exploratory,9.0447359085083,11.40536117553711
agent_0000,1075,exploratory,stable,5.479340076446533,12.168824195861816
agent_0000,1076,stable,exploratory,7.597782135009766,11.245857238769531
agent_0000,1078,exploratory,adaptive,8.219252586364746,10.971299171447754
agent_0000,1080,adaptive,exploratory,8.44477367401123,11.382534980773926
agent_0000,1084,exploratory,adaptive,6.986284255981445,10.585737228393555
agent_0000,1085,adaptive,exploratory,9.581607818603516,9.34981918334961
agent_0000,1087,exploratory,adaptive,5.563989162445068,9.953444480895996
agent_0000,1088,adaptive,stable,2.729081392288208,8.997864723205566
agent_0000,1095,stable,unstable,12.343021392822266,0.881172239780426
agent_0000,1097,unstable,exploratory,10.898731231689453,6.64789342880249
agent_0000,1098,exploratory,adaptive,9.46076774597168,8.742162704467773
agent_0000,1100,adaptive,stable,3.851052761077881,11.200994491577148
agent_0000,1105,stable,adaptive,0.16247572004795074,8.544540405273438
agent_0000,1106,adaptive,exploratory,6.417638778686523,10.655869483947754
agent_0000,1107,exploratory,adaptive,5.14204216003418,11.626890182495117
agent_0000,1109,adaptive,stable,0.4829956889152527,7.914970397949219
agent_0000,1111,stable,adaptive,0.35545405745506287,8.224031448364258
agent_0000,1112,adaptive,stable,-0.7713335752487183,5.314281463623047
agent_0000,1114,stable,exploratory,5.895501136779785,10.700995445251465
agent_0000,1115,exploratory,adaptive,3.201033353805542,8.915422439575195
agent_0000,1121,adaptive,exploratory,9.585419654846191,9.053794860839844
agent_0000,1124,exploratory,adaptive,9.906707763671875,10.161511421203613
agent_0000,1129,adaptive,unstable,11.261930465698242,2.7986321449279785
agent_0000,1136,unstable,exploratory,11.188530921936035,7.791896343231201
agent_0000,1137,exploratory,adaptive,9.368622779846191,10.200385093688965
agent_0000,1138,adaptive,stable,5.666354179382324,11.192057609558105
agent_0000,1146,stable,adaptive,-0.003855777205899358,5.490818023681641
agent_0000,1147,adaptive,unstable,12.551216125488281,3.130450487136841
agent_0000,1149,unstable,stable,10.846303939819336,3.155956506729126
agent_0000,1152,stable,adaptive,6.6968488693237305,9.725695610046387
agent_0000,1153,adaptive,exploratory,9.409560203552246,8.977978706359863
agent_0000,1156,exploratory,adaptive,6.01679801940918,9.762284278869629
agent_0000,1157,adaptive,stable,3.875814914703369,9.14892578125
agent_0000,1158,stable,adaptive,4.147566318511963,10.545743942260742
agent_0000,1159,adaptive,stable,2.2080864906311035,8.79530143737793
agent_0000,1166,stable,exploratory,5.785076141357422,9.536782264709473
agent_0000,1168,exploratory,unstable,10.950145721435547,3.0279343128204346
agent_0000,1169,unstable,exploratory,10.940340995788574,5.541761875152588
agent_0000,1170,exploratory,unstable,12.441935539245605,1.762537956237793
agent_0000,1171,unstable,adaptive,11.408699989318848,5.395303726196289
agent_0000,1173,adaptive,unstable,10.886296272277832,0.09293123334646225
agent_0000,1177,unstable,stable,10.646429061889648,4.379327774047852
agent_0000,1178,stable,exploratory,9.51085090637207,7.275479793548584
agent_0000,1179,exploratory,unstable,11.74220085144043,1.5855605602264404
agent_0000,1182,unstable,stable,12.185325622558594,3.5636415481567383
agent_0000,1186,stable,exploratory,8.531003952026367,10.024133682250977
agent_0000,1187,exploratory,unstable,11.10217571258545,1.1904674768447876
agent_0000,1189,unstable,stable,11.321259498596191,3.6516027450561523
agent_0000,1199,stable,adaptive,-0.4818727970123291,8.060749053955078
agent_0000,1201,adaptive,exploratory,9.867942810058594,10.632729530334473
