min_covar,restart,ll_per_obs,n_iter,em_converged,health_ok,kept,is_winner,max_condition_number,min_eigenvalue,N,T,seed,covariance_type
0.001,8,-1.2666397292647913,65,True,True,True,False,56.16351847185281,0.001704783298860479,10,1000,45,full
0.001,9,-1.2666396249321772,80,True,True,True,False,56.14680970762932,0.0017039239359970264,10,1000,45,full
0.0001,0,-1.2561476393694126,69,True,True,True,False,40.690019650109676,0.001237367938683467,10,1000,45,full
0.0001,1,-1.2666397315462603,63,True,True,True,False,56.163692661139564,0.0017047922785155573,10,1000,45,full
0.0001,2,-1.2561474616463442,77,True,True,True,False,40.66145635727454,0.0012366843330550328,10,1000,45,full
0.0001,3,-1.2666397293549536,63,True,True,True,False,56.16352533717149,0.0017047836510277513,10,1000,45,full
0.0001,4,-1.2666397254644737,67,True,True,True,False,56.16322416044888,0.0017047681309488379,10,1000,45,full
0.0001,5,-1.2666397250323866,68,True,True,True,False,56.16319035483285,0.0017047663889090288,10,1000,45,full
0.0001,6,-1.2561474615098487,76,True,True,True,False,40.66156191466195,0.0012366868570397322,10,1000,45,full
0.0001,7,-1.2666397304866948,61,True,True,True,False,56.16361216621229,0.0017047881342392543,10,1000,45,full
0.0001,8,-1.266639729259571,65,True,True,True,False,56.1635180714642,0.0017047832782235651,10,1000,45,full
0.0001,9,-1.2666396247649794,80,True,True,True,False,56.1472537579751,0.0017039467322440042,10,1000,45,full
0.01,0,-1.259378879338874,92,True,True,True,False,54.676547453434566,0.0015586025512759232,10,1000,46,full
0.01,1,-1.2488478032468606,94,True,True,True,False,40.74061482437237,0.0012129060407288002,10,1000,46,full
0.01,2,-1.2593788824344136,91,True,True,True,False,54.6769431233725,0.0015586125827641744,10,1000,46,full
0.01,3,-1.2593788773902364,92,True,True,True,False,54.67629628263332,0.0015585961837592443,10,1000,46,full
0.01,4,-1.2593788797421699,96,True,True,True,False,54.676598716349645,0.0015586038510345744,10,1000,46,full
0.01,5,-1.259378877301278,94,True,True,True,False,54.67628481516945,0.0015585958930417454,10,1000,46,full
0.01,6,-1.2593788790567342,91,True,True,True,False,54.67651072711456,0.0015586016203129455,10,1000,46,full
0.01,7,-1.2593788763677118,92,True,True,True,False,54.67616433822033,0.0015585928388052376,10,1000,46,full
0.01,8,-1.2593788793269447,95,True,True,True,False,54.67654542955056,0.0015586025000917214,10,1000,46,full
0.01,9,-1.25937887614782,101,True,True,True,False,54.6761359736811,0.0015585921197223,10,1000,46,full
0.001,0,-1.259378879484865,91,True,True,True,False,54.67657112860476,0.0015586031501678933,10,1000,46,full
0.001,1,-1.2488478031689294,94,True,True,True,False,40.74068726821607,0.001212907659465048,10,1000,46,full
0.001,2,-1.2593788743944865,92,True,True,True,False,54.67590892242883,0.0015585863638538327,10,1000,46,full
0.001,3,-1.2593788772986747,92,True,True,True,False,54.676284479780016,0.0015585958845408072,10,1000,46,full
0.001,4,-1.2593788794308367,96,True,True,True,False,54.676558766967574,0.0015586028382244192,10,1000,46,full
0.001,5,-1.259378878009168,94,True,True,True,False,54.67637601311357,0.0015585982050513021,10,1000,46,full
0.001,6,-1.259378877983357,91,True,True,True,False,54.67637269069705,0.0015585981208262475,10,1000,46,full
0.001,7,-1.2593788761331255,92,True,True,True,False,54.676134029954724,0.0015585920704602092,10,1000,46,full
0.001,8,-1.2593788792392906,95,True,True,True,False,54.67653417470543,0.001558602214756213,10,1000,46,full
0.001,9,-1.2593788760685112,101,True,True,True,False,54.676125724234616,0.0015585918598883324,10,1000,46,full
0.0001,0,-1.2593788784562678,91,True,True,True,False,54.676440557222854,0.0015585998394846664,10,1000,46,full
0.0001,1,-1.2488478031596173,94,True,True,True,True,40.74069615220129,0.0012129078579766186,10,1000,46,full
0.0001,2,-1.2593788744186634,92,True,True,True,False,54.675912058024075,0.0015585864433424964,10,1000,46,full
0.0001,3,-1.259378877289379,92,True,True,True,False,54.676283279792045,0.001558595854118684,10,1000,46,full
0.0001,4,-1.259378879398505,96,True,True,True,False,54.67655461596101,0.0015586027329870548,10,1000,46,full
0.0001,5,-1.259378878080729,94,True,True,True,False,54.676385224244854,0.0015585984385701442,10,1000,46,full
0.0001,6,-1.259378877869998,91,True,True,True,False,54.67635809460487,0.0015585977507913363,10,1000,46,full
0.0001,7,-1.2593788761090492,92,True,True,True,False,54.67613091656177,0.0015585919915334057,10,1000,46,full
0.0001,8,-1.2593788792296816,95,True,True,True,False,54.676532939337534,0.0015586021834373771,10,1000,46,full
0.0001,9,-1.259378876060202,101,True,True,True,False,54.676124650461006,0.0015585918326671737,10,1000,46,full
0.01,0,-1.2593325726792746,92,True,True,True,False,53.18888497466855,0.001615505811637033,10,1000,47,full
0.01,1,-1.259332568623798,87,True,True,True,False,53.188366218050646,0.0016154908326666652,10,1000,47,full
0.01,2,-1.2593325741357573,81,True,True,True,False,53.189069819282274,0.001615511149142056,10,1000,47,full
0.01,3,-1.2593325692196675,87,True,True,True,False,53.188442820400084,0.0016154930445002975,10,1000,47,full
0.01,4,-1.246036525206064,122,True,True,True,False,39.92395598156676,0.0012146115493119568,10,1000,47,full
0.01,5,-1.2593325739582168,85,True,True,True,False,53.18904732614517,0.0016155104996320557,10,1000,47,full
0.01,6,-1.2593325666802662,84,True,True,True,False,53.188115437480796,0.0016154835916688,10,1000,47,full
0.01,7,-1.2593325696370223,86,True,True,True,False,53.1884963910081,0.0016154945913127096,10,1000,47,full
0.01,8,-1.2593325728621079,91,True,True,True,False,53.18890821875511,0.0016155064828180324,10,1000,47,full
0.01,9,-1.2593325722241224,89,True,True,True,False,53.188827054702266,0.001615504139183066,10,1000,47,full
0.001,0,-1.2593325726025428,92,True,True,True,False,53.18887521588681,0.001615505529848379,10,1000,47,full
