N,T,seed,total_obs,cov_type_used,min_covar_used,n_restarts_succeeded,n_restarts_attempted,converged,n_iter_full,tried_fallback,ll_per_obs_full,max_condition_number,min_eigenvalue,state_collapse,reliable,sufficiency_warning,ari_full,accuracy_full,unstable_recall_full,diag_fit_failed,ari_diag,accuracy_diag,ll_per_obs_diag,diag_bic_failed,bic_opt_k_diag,bic_opt_k_full
5,5000,42,25000,full,0.0001,30,30,True,78,False,-1.2261558940424881,37.892749375586895,0.001392802181454257,False,True,False,0.34060422968038007,0.6606,0.9999999999999998,False,0.33208452973994346,0.63696,-1.8091802306643379,False,8.0,8
5,5000,43,25000,full,0.01,30,30,True,88,False,-1.2043261058801025,37.25956062114012,0.0014087885765734546,False,True,False,0.338363341560878,0.659,0.9999999999999998,False,0.3307405472161113,0.63524,-1.7909971825664412,False,8.0,7
5,5000,44,25000,full,0.001,30,30,True,55,False,-1.3191113145496713,50.32188071102237,0.0019496611997287504,False,True,False,0.35709208526261965,0.61376,0.998423334647221,False,0.34353774761036815,0.64612,-1.8836990199574883,False,8.0,8
5,5000,45,25000,full,0.01,30,30,True,54,False,-1.3329932096667436,51.373079738438044,0.0018759431726246495,False,True,False,0.36264412543493296,0.61452,0.998079877112135,False,0.3486645784479851,0.64916,-1.8940714156698364,False,8.0,7
5,5000,46,25000,full,0.001,30,30,True,82,False,-1.3056004581220286,38.729131459454976,0.0013523452710290154,False,True,False,0.34689568277702015,0.66328,0.9998039984319873,False,0.3423191242911507,0.64616,-1.875074197073571,False,8.0,6
5,5000,47,25000,full,0.001,30,30,True,79,False,-1.2886853217371161,37.38517881639542,0.001338847284542738,False,True,False,0.3454363411437909,0.66156,0.9998054474708169,False,0.33881927313662946,0.6404,-1.8640390246311336,False,8.0,7
5,5000,48,25000,full,0.01,30,30,True,72,False,-1.2762013095214473,38.843340698545326,0.0013203999203919598,False,True,False,0.3530750578453557,0.66808,0.9998062015503875,False,0.3431877894753981,0.64612,-1.8577582473916676,False,8.0,8
5,5000,49,25000,full,0.01,30,30,True,79,False,-1.2262004049064834,38.11387709630657,0.0013466945106412702,False,True,False,0.34488179057848717,0.66252,0.9999999999999998,False,0.3337375565185501,0.6368,-1.8170261498270406,False,7.0,7
5,5000,50,25000,full,0.01,30,30,True,65,False,-1.231124349068735,38.194096061263956,0.0013381297254263802,False,True,False,0.34258185474038017,0.6594,0.9999999999999998,False,0.3326471123565873,0.63728,-1.8225282398325913,False,8.0,8
5,5000,51,25000,full,0.0001,30,30,True,62,False,-1.241234213913144,37.16635389710762,0.0013158086731826235,False,True,False,0.34319873499681786,0.6574,0.9999999999999998,False,0.3342897249477121,0.63608,-1.825449282051901,False,8.0,7
10,500,42,5000,full,0.01,30,30,True,98,False,-1.1222073504127634,40.10097905446384,0.001221338278031422,False,True,False,0.322790080711575,0.6496,0.9999999999999989,False,0.3248739078421438,0.6364,-1.7473565478996984,False,8.0,7
10,500,43,5000,full,0.0001,30,30,True,65,False,-1.034605914426987,42.291958286766075,0.0011821820658295483,False,True,False,0.3306062631581101,0.6576,0.9999999999999989,False,0.3326884486739016,0.6442,-1.6860317639420304,False,8.0,7
10,500,44,5000,full,0.0001,30,30,True,66,False,-1.0135815408286306,42.84752834410845,0.001099217279418183,False,True,False,0.3273194586137097,0.6524,0.9999999999999989,False,0.3311050362967251,0.641,-1.6761044615049216,False,8.0,6
10,500,45,5000,full,0.01,30,30,True,57,False,-1.0815782337732043,44.61235550856876,0.0010803630105308325,False,True,False,0.34247296547014777,0.6638,0.999999999999999,False,0.3403988293533723,0.6492,-1.7226240782102344,False,7.0,7
10,500,46,5000,full,0.01,30,30,True,86,False,-1.1453768711379586,43.73919996987883,0.0011434284958101698,False,True,False,0.35195745240446435,0.6722,0.9999999999999991,False,0.34418301304545545,0.6514,-1.7622558071995311,False,7.0,7
10,500,47,5000,full,0.0001,30,30,True,56,False,-1.189293627922589,47.85105571419056,0.0010973688755623583,False,True,False,0.3482375251036297,0.6722,0.999999999999999,False,0.3420707641854028,0.6528,-1.791977888320953,False,8.0,8
10,500,48,5000,full,0.001,30,30,True,81,False,-1.2200354091737253,49.41542638811468,0.0010954411390127704,False,True,False,0.34742378470015006,0.6686,0.9999999999999991,False,0.34351124599792515,0.6504,-1.830569257817564,False,7.0,8
10,500,49,5000,full,0.0001,30,30,True,62,False,-1.2781251257441923,49.05312246733215,0.0011310318337765285,False,True,False,0.35523439964591885,0.6734,0.9999999999999991,False,0.34355252139771275,0.648,-1.879878336920117,False,8.0,7
10,500,50,5000,full,0.01,30,30,True,77,False,-1.3174314532892095,66.77952027294552,0.0014346330747782446,False,True,False,0.3641575888394997,0.6324,0.9981378026070755,False,0.3409645188571082,0.6414,-1.9133684514537446,False,8.0,7
10,500,51,5000,full,0.0001,30,30,True,86,False,-1.338440411930962,51.46334347930651,0.0010486289137167522,False,True,False,0.36270896420295806,0.6694,0.9999999999999991,False,0.3448573846753159,0.6396,-1.9365161610319985,False,7.0,8
10,1000,42,10000,full,0.01,30,30,True,72,False,-1.2455796624298718,40.17934369971697,0.001242975265784922,False,True,False,0.32816243956056146,0.6507,0.9999999999999996,False,0.33008072700046504,0.6351,-1.8328645873753238,False,8.0,7
10,1000,43,10000,full,0.001,30,30,True,105,False,-1.2422589735159821,41.020349588976764,0.0013137834140976472,False,True,False,0.3343803030062023,0.6601,0.9999999999999996,False,0.3329529176888721,0.6409,-1.8377406382343011,False,8.0,7
10,1000,44,10000,full,0.01,30,30,True,45,False,-1.2103975872103785,42.62673045043494,0.001225337488851769,False,True,False,0.33600742346633156,0.6598,0.9999999999999996,False,0.3339757081099355,0.6414,-1.8173054178595165,False,7.0,8
10,1000,45,10000,full,0.01,30,30,True,77,False,-1.2561474614975456,40.66157171088948,0.0012366870913602733,False,True,False,0.34085166570726616,0.6624,0.9999999999999996,False,0.3379701076347072,0.6471,-1.8513013251363082,False,7.0,8
10,1000,46,10000,full,0.0001,30,30,True,94,False,-1.2488478031596173,40.74069615220129,0.0012129078579766186,False,True,False,0.3443279464698886,0.6647,0.9999999999999996,False,0.33682553882998584,0.6445,-1.8389134439486599,False,8.0,7
10,1000,47,10000,full,0.0001,30,30,True,122,False,-1.2460365251754386,39.92395398294991,0.001214611500343484,False,True,False,0.34090687199782405,0.6627,0.9999999999999996,False,0.33496812919312974,0.6447,-1.8325079599835614,False,8.0,8
10,1000,48,10000,full,0.01,30,30,True,88,False,-1.2585340613573106,40.41530410478944,0.0011986727630554973,False,True,False,0.34535420718616683,0.6639,0.9999999999999996,False,0.3379392946311014,0.6441,-1.851723569815662,False,8.0,8
10,1000,49,10000,full,0.0001,30,30,True,96,False,-1.2139842651719945,40.169232705156844,0.0012258248479220938,False,True,False,0.3454679116999287,0.6645,0.9999999999999996,False,0.33630420536726446,0.643,-1.814275401206365,False,8.0,6
10,1000,50,10000,full,0.0001,30,30,True,75,False,-1.2030648121467236,39.492386047153204,0.0012063512237447083,False,True,False,0.3428623881349726,0.659,0.9999999999999996,False,0.3312366084290108,0.6382,-1.8055515198439476,False,8.0,7
10,1000,51,10000,full,0.01,30,30,True,80,False,-1.2035694724836952,38.52115567923198,0.0011979734615541384,False,True,False,0.3461347702713547,0.6596,0.9999999999999996,False,0.3356730740784667,0.6398,-1.8019912208400504,False,7.0,8
10,2000,42,20000,full,0.0001,30,30,True,77,False,-1.2451639084936583,38.13245565665724,0.0013470987033651798,False,True,False,0.3381865164449771,0.65915,0.9999999999999998,False,0.33616746976186074,0.6422,-1.8260640634743874,False,8.0,8
10,2000,43,20000,full,0.0001,30,30,True,86,False,-1.2133515408547593,39.401259519582,0.0013588104310808776,False,True,False,0.3400328926648251,0.6626,0.9999999999999998,False,0.33651482710707875,0.64495,-1.8071419332354999,False,8.0,7
10,2000,44,20000,full,0.01,30,30,True,77,False,-1.1878709497384499,40.33102429724907,0.001319560191452805,False,True,False,0.3391076170825527,0.6607,0.9999999999999998,False,0.335318530913466,0.643,-1.7875705982901196,False,8.0,8
10,2000,45,20000,full,0.001,30,30,True,121,False,-1.2251834855684647,39.77690020621491,0.001320072409854774,False,True,False,0.3418700378492271,0.66195,0.9999999999999998,False,0.3380543707088564,0.6469,-1.8158269198378392,False,8.0,8
10,2000,46,20000,full,0.0001,30,30,True,72,False,-1.2622956712644473,39.729235897093936,0.0013048641840382482,False,True,False,0.34158146613264223,0.6611,0.9999999999999998,False,0.3366142281655439,0.64395,-1.844884954201866,False,8.0,8
10,2000,47,20000,full,0.01,30,30,True,84,False,-1.269183225765973,38.373087402015955,0.0013200264253180804,False,True,False,0.34172819937240956,0.66145,0.9999999999999998,False,0.33778084232091765,0.6452,-1.8442152818361286,False,8.0,8
10,2000,48,20000,full,0.01,30,30,True,117,False,-1.2786165964323968,38.716827610983955,0.0013208290150447505,False,True,False,0.3458142883878061,0.663,0.9999999999999998,False,0.34012938876781773,0.6456,-1.8576008512945565,False,8.0,8
